39575000	-36,196146	-8,89001
39689000	-36,330756	-9,130857
39700000	-36,2175	-9,1678
39715000	-36,328864	-9,004759
39720000	-36,055862	-9,011694
39745000	-36,042622	-9,183188
39770000	-35,852214	-9,488975
39800000	-36,595246	-9,039121
39852000	-36,417133	-9,351844
39855000	-36,374266	-9,370972
39860000	-36,24627	-9,377379
39863000	-36,148877	-9,392226
39870000	-36,0215	-9,508836
39866000	-36,11975	-9,378342
27043020	-35,735	-9,641
28043020	-35,737905	-9,628603
29017040	-36,077	-9,413
30043020	-35,778	-9,696
31043021	-35,727	-9,552
32043021	-35,707	-9,632
32066040	-36,372	-9,371
33076020	-36,471	-9,318
34043021	-35,748	-9,6214
35043021	-35,743	-9,649
36043021	-35,79703	-9,56652
37043021	-35,741	-9,573
38043021	-35,761	-9,55
39043020	-35,768	-9,581
40084040	-36,143	-8,72
41021000	-36,710027	-9,184638
42084040	-36,152583	-8,724111
43013080	-36,14565	-9,39315
44032070	-36,733805	-8,718472
45024070	-36,569472	-9,046416
46047000	-36,329	-9,128
47047000	-36,373361	-9,178888
48060020	-36,545166	-8,839755
49088000	-36,302388	-8,6165
50115070	-36,013	-8,83
51115070	-36,115	-8,844
52115070	-36,093	-8,804
53088000	-36,32232	-8,66027
54055070	-35,946	-9,311
55081050	-36,217	-9,17
56089070	-35,824	-9,574
57093010	-36,032	-9,161
58093010	-36,016	-9,152
59093010	-36,052	-9,134
